ID,PerfilEconomico,Sexo,Idade,PerfilCompra,ValorCompraAnual,GastoMax,GastoMedio,UF,CidadeResidencia,RegiaodoPais,NumeroComprasOnline,MesesDesempregado,Anuidade
1,3,homem,22,1,7250,517.8571428571,604.1666666667,MG,Morada Nova de Minas,Região Sudeste,54.9242424242,5,"62,9304011407"
2,1,mulher,38,1,71283,5091.6428571429,5940.25,RN,Marcelino Vieira,Região Nordeste,312.6447368421,7,"37,9153459043"
3,3,mulher,26,0,7925,566.0714285714,660.4166666667,PR,Agudos do Sul,Região Sul,50.8012820513,6,"60,9993188527"
4,1,mulher,35,1,531,37.9285714286,44.25,PR,Congonhinhas,Região Sul,2.5285714286,7,"5,3944383134"
5,3,homem,35,0,805,57.5,67.0833333333,BA,Morpará,Região Nordeste,3.8333333333,0,"40,9964747337"
6,3,homem,22,0,84583,6041.6428571429,7048.5833333333,AL,Carneiros,Região Nordeste,640.7803030303,0,"57,5762582238"
7,1,homem,54,0,51862,3704.4285714286,4321.8333333333,PR,Figueira,Região Sul,160.0679012346,2,"15,206241056"
8,3,homem,20,3,21075,1505.3571428572,1756.25,BA,Ouriçangas,Região Nordeste,175625,9,"64,010189895"
9,3,mulher,27,0,11133,795.2142857143,927.75,MG,Comercinho,Região Sudeste,68.7222222222,0,"84,1577756702"
10,2,mulher,14,1,3007,214.7857142857,250.5833333333,MG,Japonvar,Região Sudeste,35.7976190476,3,"64,3262756534"
11,3,mulher,40,1,167,11.9285714286,13.9166666667,RO,Chupinguaia,Região Norte,0.6958333333,4,"4,9510521382"
12,1,mulher,58,0,2655,189.6428571429,221.25,BA,Lajedo do Tabocal,Região Nordeste,7.6293103448,6,"109,4426283706"
13,3,homem,20,0,805,57.5,67.0833333333,PB,Riacho Dos Cavalos,Região Nordeste,6.7083333333,8,"106,0748021033"
14,3,homem,39,1,31275,2233.9285714286,2606.25,BA,Abaíra,Região Nordeste,133.6538461538,1,"48,1631830367"
